Group Name,Name,Nationality
2VR_Studio,草妳莓,HK
2VR_Studio,貓村‧艾斯特,TW
2VR_Studio,闇雲あくり,TW
2VR_Studio,飯團泉,MO
2VR_Studio,黑暗,HK
ACGlive,蕾兒,TW
ACGlive,邱可,TW
ACGlive,小森,TW
Air Live,小森未央,TW
Air Live,朝日陽奈,TW
Blossom Live,南心詠,TW
Blossom Live,櫻野露,TW
CyberLive,香草奈若,TW
CyberLive,水野魚娜,TW
E.M Team,MitsuAki,TW
E.M Team,Rizumu,TW
GS＠Virtual,可諾莉,TW
GS＠Virtual,朱道,TW
Granto,八重「雲」,TW
Jump20²⁰,夢乃ミラ,TW
KAHO-FAMI,Aoi Hinamori,TW
KAHO-FAMI,十亀あずみ,TW
KAHO-FAMI,青羽ミ,TW
KAHO-FAMI,鴉,TW
KAHO-FAMI,黑木悠彩,TW
KAHO-FAMI,黑野悠真,TW
Kiseki Plain,夜見愛夢,TW
Kiseki Plain,蘇菲蕥,TW
Kiseki Plain,蜜瑮恩洛托,TW
Kiseki Plain,詠星優宇奈,TW
MOMOMO團,いくせん,TW
MOMOMO團,卡滋可可,TW
MOMOMO團,帕露菲,TW
MOMOMO團,撇嘴耳包前滾翻,TW
MOMOMO團,煌煌,TW
MOMOMO團,結月,TW
MOMOMO團,草鈴,TW
MOMOMO團,車車,TW
MOMOMO團,雙命裂,TW
MOMOMO團,幽々魅,TW
MOMOMO團,紗夏,TW
Mic On Project,小林あいす,HK
Miragion Studio,宮森繪里奈,TW
Miragion Studio,白秋澤,TW
Mirolive,冬華凜,TW
Mirolive,塔芭絲可,TW
NPC,喵比,TW
NPC,罐罐,TW
Narrator/STORIA,祈菈‧貝希毛絲,TW
Psycho Fantasy,優尼椪,TW
Psycho Fantasy,向日葵茄子,TW
Psycho Fantasy,嗚夫沃夫,TW
RaZerStar,秋月莉莉卡,TW
RaZerStar,星眷蕾米,TW
ReBirth,ELA,TW
ReBirth,佐藤サキ,TW
ReBirth,白川フロ,TW
ReLive Project,灰妲,TW
ReLive Project,諾櫻,TW
ReLive Project,鹿遙,TW
RenewLive,海姬依莉亞,TW
RenewLive,須多夜花,TW
Soxius,薩利赫,TW
TOYBOX,猫目ひな,TW
TOYBOX,宇佐美,TW
V-CLUB,DeeDoo,TW
V-CLUB,氦氦,TW
V-CLUB,蘭希,TW
VTCF Project,北斗香菜,TW
VTCF Project,雲龍八將,TW
Virtual Dorm,ﾊﾞｰﾁｬﾙアルパカ草泥馬,TW
VirtualLive,桜井ゆりか,TW
VirtualLive,綈賽兒,TW
VirtualLive,赤羽はる,HK
ナヤ家,流霜絢目,JP
ナヤ家,秋月イノリ,MY
ナヤ家,黒田翔隼,MY
七二二軍團,夏莎莎,TW
七二二軍團,祈霓,TW
埃及少女組,帕芭,TW
埃及少女組,斯比,TW
小倉電子企業社,小倉亞里亞,TW
小倉電子企業社,明石巴,TW
小倉電子企業社,空,TW
幻雪琉璃的夢境,冥雪,TW
幻雪琉璃的夢境,夢,TW
春魚工作室,十五號,TW
春魚工作室,平平子,TW
比鄰星域,星見遙,TW
比鄰星域,萊菈‧希格娜斯,TW
異星觀測站,凪沢ねろ,TW
異星觀測站,荒幽ばつ,TW
粟米肉粒,粟米,HK
粟米肉粒,肉粒,HK
艋舺會社,愛夏香音,TW
萌元氣,七海千草,TW
萌元氣,兔乃艾露,TW
萌元氣,咪久,HK
萌元氣,嗚洽ゆき,TW
萌元氣,天狐十楠,TW
萌元氣,奶茶,HK
萌元氣,姬宮優花,TW
萌元氣,小羊許普,TW
萌元氣,山尾白,TW
萌元氣,瀰婭,TW
萌元氣,白色砂糖,TW
萌元氣,神無月嵐,TW
萌元氣,緋尹夜,TW
萌元氣,鬼塚魅華,TW
萌元氣,Loya,TW
超異界通信+,冷嵐,TW
超異界通信+,周默,TW
超異界通信+,心花りりゆ,JP
超異界通信+,浣路網熊,TW
超異界通信+,米秝,TW
超異界通信+,龍妹,TW
超異界通信+,レレイ緒文,TW
超異界通信+,伏尼狐狸,TW
超異界通信+,歸家WANT！,TW
超異界通信+,迦蔻天,TW
超異界通信+,金架海拉,TW
